640;05.09.2018,16:44:34;Type;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;R1;R2;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;
678;06.09.2018,09:44:13;Time;;;;;;;;;;;;;;;;;0.033;-24.173;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
679;06.09.2018,09:45:13;Time;;;;;;;;;;;;;;;;;0.033;-24.173;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
680;06.09.2018,09:46:13;Time;;;;;;;;;;;;;;;;;0.033;-25.011;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
681;06.09.2018,09:47:13;Time;;;;;;;;;;;;;;;;;0.033;-24.174;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
682;06.09.2018,09:48:13;Time;;;;;;;;;;;;;;;;;0.033;-24.172;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
683;06.09.2018,09:49:13;Time;;;;;;;;;;;;;;;;;0.033;-24.927;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
684;06.09.2018,09:50:13;Time;;;;;;;;;;;;;;;;;0.033;-24.377;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
685;06.09.2018,09:51:13;Time;;;;;;;;;;;;;;;;;0.033;-24.174;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
686;06.09.2018,09:52:13;Time;;;;;;;;;;;;;;;;;0.033;-24.424;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
687;06.09.2018,09:53:13;Time;;;;;;;;;;;;;;;;;0.033;-25.013;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
688;06.09.2018,09:54:13;Time;;;;;;;;;;;;;;;;;0.033;-24.983;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
689;06.09.2018,09:55:13;Time;;;;;;;;;;;;;;;;;0.033;-24.917;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
690;06.09.2018,09:56:13;Time;;;;;;;;;;;;;;;;;0.033;-24.177;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
691;06.09.2018,09:57:13;Time;;;;;;;;;;;;;;;;;0.033;-24.174;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
693;06.09.2018,09:58:13;Time;;;;;;;;;;;;;;;;;0.033;-24.173;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
694;06.09.2018,09:59:13;Time;;;;;;;;;;;;;;;;;0.033;-24.172;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
695;06.09.2018,10:00:13;Time;;;;;;;;;;;;;;;;;0.033;-24.172;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
696;06.09.2018,10:01:13;Time;;;;;;;;;;;;;;;;;0.033;-24.173;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
697;06.09.2018,10:02:13;Time;;;;;;;;;;;;;;;;;0.033;-24.172;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
698;06.09.2018,10:03:13;Time;;;;;;;;;;;;;;;;;0.033;-24.173;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
699;06.09.2018,10:04:13;Time;;;;;;;;;;;;;;;;;0.033;-24.171;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
700;06.09.2018,10:05:13;Time;;;;;;;;;;;;;;;;;0.033;-24.172;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
701;06.09.2018,10:06:13;Time;;;;;;;;;;;;;;;;;0.033;-24.177;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
702;06.09.2018,10:07:13;Time;;;;;;;;;;;;;;;;;0.033;-24.173;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
703;06.09.2018,10:08:13;Time;;;;;;;;;;;;;;;;;0.033;-24.172;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
704;06.09.2018,10:09:13;Time;;;;;;;;;;;;;;;;;0.033;-24.172;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
705;06.09.2018,10:10:13;Time;;;;;;;;;;;;;;;;;0.033;-24.171;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
706;06.09.2018,10:11:13;Time;;;;;;;;;;;;;;;;;0.033;-24.171;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
707;06.09.2018,10:12:13;Time;;;;;;;;;;;;;;;;;0.033;-24.172;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
708;06.09.2018,10:13:13;Time;;;;;;;;;;;;;;;;;0.033;-24.173;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
709;06.09.2018,10:14:13;Time;;;;;;;;;;;;;;;;;0.033;-24.171;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
