537;05.09.2018,09:25:44;Type;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;R1;R2;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;
574;05.09.2018,15:47:04;Time;;;;;;;;;;;;;;;;;0.033;-0.001;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
575;05.09.2018,15:48:04;Time;;;;;;;;;;;;;;;;;0.033;-0.001;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
576;05.09.2018,15:49:04;Time;;;;;;;;;;;;;;;;;0.033;-0.001;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
577;05.09.2018,15:49:32;Event;;;;;;;;;;;;;;;;;0.033;1.776;1;1;0;0;;;;;;;;;;;;;;;;;1;0;0;0;
578;05.09.2018,15:50:04;Time;;;;;;;;;;;;;;;;;0.033;39.726;1;1;0;0;;;;;;;;;;;;;;;;;1;0;0;0;
579;05.09.2018,15:50:16;Event;;;;;;;;;;;;;;;;;0.033;50.066;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
580;05.09.2018,15:50:58;Event;;;;;;;;;;;;;;;;;0.033;39.852;1;1;0;0;;;;;;;;;;;;;;;;;1;0;0;0;
581;05.09.2018,15:51:03;Event;;;;;;;;;;;;;;;;;0.033;51.222;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
582;05.09.2018,15:51:04;Time;;;;;;;;;;;;;;;;;0.033;59.594;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
583;05.09.2018,15:51:46;Event;;;;;;;;;;;;;;;;;0.033;0.652;1;1;0;0;;;;;;;;;;;;;;;;;1;0;0;0;
584;05.09.2018,15:51:47;Event;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
585;05.09.2018,15:52:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
586;05.09.2018,15:53:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
587;05.09.2018,15:54:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
588;05.09.2018,15:55:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
589;05.09.2018,15:56:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
590;05.09.2018,15:57:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
591;05.09.2018,15:58:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
593;05.09.2018,15:59:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
594;05.09.2018,16:00:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
595;05.09.2018,16:01:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
596;05.09.2018,16:02:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
597;05.09.2018,16:03:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
598;05.09.2018,16:04:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
599;05.09.2018,16:05:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
600;05.09.2018,16:06:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
601;05.09.2018,16:07:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
602;05.09.2018,16:08:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
603;05.09.2018,16:09:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
604;05.09.2018,16:10:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
605;05.09.2018,16:11:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
606;05.09.2018,16:12:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
607;05.09.2018,16:13:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
608;05.09.2018,16:14:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
609;05.09.2018,16:15:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
610;05.09.2018,16:16:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
611;05.09.2018,16:17:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
612;05.09.2018,16:18:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
613;05.09.2018,16:19:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
614;05.09.2018,16:20:04;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
615;05.09.2018,16:20:25;Power Down;;;;;;;;;;;;;;;;;;;;;;
616;05.09.2018,16:21:34;Start;;;;;;;;;;;;;;;;;;;;;;
617;05.09.2018,16:21:36;Event;;;;;;;;;;;;;;;;;0.033;-25.019;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
618;05.09.2018,16:22:34;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
619;05.09.2018,16:23:34;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
620;05.09.2018,16:24:34;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
621;05.09.2018,16:25:34;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
622;05.09.2018,16:26:34;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
623;05.09.2018,16:27:34;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
624;05.09.2018,16:28:34;Time;;;;;;;;;;;;;;;;;0.033;-25.020;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
