2;05.09.2018,04:50:26;Type;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;R1;R2;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;
3;05.09.2018,04:50:26;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
4;05.09.2018,04:51:23;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
5;05.09.2018,04:51:33;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
6;05.09.2018,04:51:43;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
7;05.09.2018,04:51:53;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
8;05.09.2018,04:52:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
9;05.09.2018,04:52:13;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
10;05.09.2018,04:52:23;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
11;05.09.2018,04:52:33;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
12;05.09.2018,04:52:43;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
13;05.09.2018,04:52:53;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
14;05.09.2018,04:53:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
15;05.09.2018,04:53:13;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;

32A
16;05.09.2018,04
