48;05.09.2018,04:58:43;Type;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;R1;R2;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;
58;05.09.2018,05:01:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
59;05.09.2018,05:02:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
60;05.09.2018,05:02:07;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;0;0;
61;05.09.2018,05:02:08;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
62;05.09.2018,05:02:09;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;0;0;
63;05.09.2018,05:02:09;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
64;05.09.2018,05:02:10;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;1;;;;;;;;;;;;;;;;;1;1;0;0;
65;05.09.2018,05:02:10;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
66;05.09.2018,05:02:12;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;0;0;
67;05.09.2018,05:02:12;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
68;05.09.2018,05:02:15;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;0;0;
69;05.09.2018,05:02:16;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
70;05.09.2018,05:02:17;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;0;0;
71;05.09.2018,05:02:17;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
72;05.09.2018,05:02:19;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;0;0;
73;05.09.2018,05:02:20;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
74;05.09.2018,05:02:22;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;1;;;;;;;;;;;;;;;;;1;1;0;0;
75;05.09.2018,05:02:23;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
76;05.09.2018,05:02:24;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;1;;;;;;;;;;;;;;;;;1;1;0;0;
77;05.09.2018,05:02:24;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
78;05.09.2018,05:03:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
79;05.09.2018,05:04:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
80;05.09.2018,05:05:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
81;05.09.2018,05:06:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
82;05.09.2018,05:07:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
83;05.09.2018,05:08:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
84;05.09.2018,05:09:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
85;05.09.2018,05:10:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
86;05.09.2018,05:11:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
87;05.09.2018,05:12:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
88;05.09.2018,05:13:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
89;05.09.2018,05:14:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
90;05.09.2018,05:15:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
91;05.09.2018,05:16:03;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
