Date;Sensor1;Fridge 2;Sensor3;Sensor6;Alarm1;Alarm2;Alarm3;Alarm4
29.08.2018,00:01:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:03:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:05:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:07:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:09:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:11:42;29.688;29.438;28;29.375;0;0;0;0
29.08.2018,00:13:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:15:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:17:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:19:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:21:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:23:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:25:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:27:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:29:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:31:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:33:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:35:42;29.625;29.438;28;29.375;0;0;0;0
29.08.2018,00:37:42;29.625;29.438;27.875;29.313;0;0;0;0
29.08.2018,00:39:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,00:41:42;29.625;29.438;27.875;29.313;0;0;0;0
29.08.2018,00:43:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,00:45:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,00:47:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,00:49:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,00:51:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,00:53:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,00:55:42;29.625;29.438;27.875;29.313;0;0;0;0
29.08.2018,00:57:42;29.625;29.438;27.875;29.313;0;0;0;0
29.08.2018,00:59:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,01:01:42;29.625;29.438;27.875;29.313;0;0;0;0
29.08.2018,01:03:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,01:05:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,01:07:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,01:09:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,01:11:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,01:13:42;29.625;29.438;28;29.25;0;0;0;0
29.08.2018,01:15:42;29.625;29.438;28;29.25;0;0;0;0
29.08.2018,01:17:42;29.625;29.438;28;29.313;0;0;0;0
29.08.2018,01:19:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:21:42;29.625;29.438;27.875;29.313;0;0;0;0
29.08.2018,01:23:42;29.625;29.438;28;29.25;0;0;0;0
29.08.2018,01:25:42;29.625;29.438;28;29.25;0;0;0;0
29.08.2018,01:27:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:29:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:31:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:33:42;29.625;29.438;27.875;29.25;0;0;0;0
29.08.2018,01:35:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:37:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:39:42;29.563;29.438;27.875;29.25;0;0;0;0
29.08.2018,01:41:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:43:42;29.563;29.438;27.875;29.25;0;0;0;0
29.08.2018,01:45:42;29.563;29.438;27.875;29.25;0;0;0;0
29.08.2018,01:47:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:49:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:51:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:53:42;29.563;29.438;28;29.25;0;0;0;0
29.08.2018,01:55:42;29.563;29.438;28;29.188;0;0;0;0
29.08.2018,01:57:42;29.625;29.5;27.875;29.25;0;0;0;0
29.08.2018,01:59:42;29.625;29.438;27.875;29.25;0;0;0;0
29.08.2018,02:01:42;29.625;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:03:42;29.563;29.438;27.875;29.25;0;0;0;0
29.08.2018,02:05:42;29.563;29.438;28;29.188;0;0;0;0
29.08.2018,02:07:42;29.563;29.438;28;29.188;0;0;0;0
29.08.2018,02:09:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:11:42;29.625;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:13:42;29.563;29.5;28;29.188;0;0;0;0
29.08.2018,02:15:42;29.563;29.438;28;29.188;0;0;0;0
29.08.2018,02:17:42;29.563;29.438;28;29.188;0;0;0;0
29.08.2018,02:19:42;29.563;29.438;28;29.188;0;0;0;0
29.08.2018,02:21:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:23:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:25:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:27:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:29:42;29.563;29.5;27.875;29.188;0;0;0;0
29.08.2018,02:31:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:33:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:35:42;29.625;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:37:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:39:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:41:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:43:42;29.563;29.438;28;29.188;0;0;0;0
29.08.2018,02:45:42;29.563;29.438;27.875;29.188;0;0;0;0
29.08.2018,02:47:42;29.563;29.438;27.875;29.125;0;0;0;0
29.08.2018,02:49:42;29.563;29.438;27.875;29.125;0;0;0;0
29.08.2018,02:51:42;29.5;29.438;27.875;29.125;0;0;0;0
29.08.2018,02:53:42;29.563;29.438;27.875;29.125;0;0;0;0
29.08.2018,02:55:42;29.563;29.438;27.875;29.125;0;0;0;0
29.08.2018,02:57:42;29.563;29.438;27.875;29.125;0;0;0;0
29.08.2018,02:59:42;29.5;29.438;27.875;29.125;0;0;0;0
29.08.2018,03:01:42;29.563;29.438;27.875;29.125;0;0;0;0
29.08.2018,03:03:42;29.563;29.438;27.875;29.125;0;0;0;0
29.08.2018,03:05:42;29.563;29.438;27.875;29.125;0;0;0;0
29.08.2018,03:07:42;29.5;29.438;27.875;29.125;0;0;0;0
29.08.2018,03:09:42;29.563;29.438;27.875;29.125;0;0;0;0
